Name,Definition
detect_aws_console_login_by_new_user_filter,search *
detect_aws_console_login_by_user_from_new_city_filter,search *
detect_aws_console_login_by_user_from_new_country_filter,search *
detect_aws_console_login_by_user_from_new_region_filter,search *
detect_azurehound_command_line_arguments_filter,search *
detect_azurehound_file_modifications_filter,search *
detect_baron_samedit_cve_2021_3156_filter,search *
detect_baron_samedit_cve_2021_3156_segfault_filter,search *
detect_baron_samedit_cve_2021_3156_via_osquery_filter,search *
detect_computer_changed_with_anonymous_account_filter,search *
detect_copy_of_shadowcopy_with_script_block_logging_filter,search *
detect_credential_dumping_through_lsass_access_filter,search *
detect_dga_domains_using_pretrained_model_in_dsdl_filter,search *
detect_dns_data_exfiltration_using_pretrained_model_in_dsdl_filter,search *
detect_dns_requests_to_phishing_sites_leveraging_evilginx2_filter,search *
detect_empire_with_powershell_script_block_logging_filter,search *
detect_excessive_account_lockouts_from_endpoint_filter,search *
detect_excessive_user_account_lockouts_filter,search *
detect_exchange_web_shell_filter,search *
detect_f5_tmui_rce_cve_2020_5902_filter,search *
detect_gcp_storage_access_from_a_new_ip_filter,search *
detect_hosts_connecting_to_dynamic_domain_providers_filter,search *
detect_html_help_renamed_filter,search *
detect_html_help_spawn_child_process_filter,search *
detect_html_help_url_in_command_line_filter,search *
detect_html_help_using_infotech_storage_handlers_filter,search *
detect_ipv6_network_infrastructure_threats_filter,search *
detect_large_outbound_icmp_packets_filter,search *
detect_long_dns_txt_record_response_filter,search *
detect_malicious_requests_to_exploit_jboss_servers_filter,search *
detect_mimikatz_using_loaded_images_filter,search *
detect_mimikatz_via_powershell_and_eventcode_4703_filter,search *
detect_mimikatz_with_powershell_script_block_logging_filter,search *
detect_mshta_inline_hta_execution_filter,search *
detect_mshta_renamed_filter,search *
detect_mshta_url_in_command_line_filter,search *
detect_new_api_calls_from_user_roles_filter,search *
detect_new_local_admin_account_filter,search *
detect_new_login_attempts_to_routers_filter,search *
detect_new_open_gcp_storage_buckets_filter,search *
detect_new_open_s3_buckets_filter,search *
detect_new_open_s3_buckets_over_aws_cli_filter,search *
detect_new_user_aws_console_login_filter,search *
detect_outbound_ldap_traffic_filter,search *
detect_outbound_smb_traffic_filter,search *
detect_outlook_exe_writing_a_zip_file_filter,search *
detect_path_interception_by_creation_of_program_exe_filter,search *
detect_port_security_violation_filter,search *
detect_processes_used_for_system_network_configuration_discovery_filter,search *
detect_prohibited_applications_spawning_cmd_exe_filter,search *
detect_psexec_with_accepteula_flag_filter,search *
detect_rare_executables_filter,search *
detect_rclone_command_line_usage_filter,search *
detect_regasm_spawning_a_process_filter,search *
detect_regasm_with_network_connection_filter,search *
detect_regasm_with_no_command_line_arguments_filter,search *
detect_regsvcs_spawning_a_process_filter,search *
detect_regsvcs_with_network_connection_filter,search *
detect_regsvcs_with_no_command_line_arguments_filter,search *
detect_regsvr32_application_control_bypass_filter,search *
detect_renamed_7_zip_filter,search *
detect_renamed_psexec_filter,search *
detect_renamed_rclone_filter,search *
detect_renamed_winrar_filter,search *
detect_risky_spl_using_pretrained_ml_model_filter,search *
detect_rogue_dhcp_server_filter,search *
detect_rtlo_in_file_name_filter,search *
detect_rtlo_in_process_filter,search *
detect_rundll32_application_control_bypass___advpack_filter,search *
detect_rundll32_application_control_bypass___setupapi_filter,search *
detect_rundll32_application_control_bypass___syssetup_filter,search *
detect_rundll32_inline_hta_execution_filter,search *
detect_s3_access_from_a_new_ip_filter,search *
detect_sharphound_command_line_arguments_filter,search *
detect_sharphound_file_modifications_filter,search *
detect_sharphound_usage_filter,search *
detect_snicat_sni_exfiltration_filter,search *
detect_software_download_to_network_device_filter,search *
detect_spike_in_aws_api_activity_filter,search *
detect_spike_in_aws_security_hub_alerts_for_ec2_instance_filter,search *
detect_spike_in_aws_security_hub_alerts_for_user_filter,search *
detect_spike_in_blocked_outbound_traffic_from_your_aws_filter,search *
detect_spike_in_network_acl_activity_filter,search *
detect_spike_in_s3_bucket_deletion_filter,search *
detect_spike_in_security_group_activity_filter,search *
detect_suspicious_dns_txt_records_using_pretrained_model_in_dsdl_filter,search *
detect_suspicious_processnames_using_pretrained_model_in_dsdl_filter,search *
detect_traffic_mirroring_filter,search *
detect_unauthorized_assets_by_mac_address_filter,search *
detect_usb_device_insertion_filter,search *
detect_use_of_cmd_exe_to_launch_script_interpreters_filter,search *
detect_web_traffic_to_dynamic_domain_providers_filter,search *
detect_webshell_exploit_behavior_filter,search *
detect_windows_dns_sigred_via_splunk_stream_filter,search *
detect_windows_dns_sigred_via_zeek_filter,search *
detect_wmi_event_subscription_persistence_filter,search *
detect_zerologon_via_zeek_filter,search *
detection_of_dns_tunnels_filter,search *
detection_of_tools_built_by_nirsoft_filter,search *
disable_amsi_through_registry_filter,search *
disable_defender_antivirus_registry_filter,search *
disable_defender_blockatfirstseen_feature_filter,search *
disable_defender_enhanced_notification_filter,search *
disable_defender_mpengine_registry_filter,search *
disable_defender_spynet_reporting_filter,search *
disable_defender_submit_samples_consent_feature_filter,search *
disable_etw_through_registry_filter,search *
disable_logs_using_wevtutil_filter,search *
disable_registry_tool_filter,search *
disable_schedule_task_filter,search *
disable_security_logs_using_minint_registry_filter,search *
disable_show_hidden_files_filter,search *
disable_uac_remote_restriction_filter,search *
disable_windows_app_hotkeys_filter,search *
disable_windows_behavior_monitoring_filter,search *
disable_windows_smartscreen_protection_filter,search *
disabled_kerberos_pre_authentication_discovery_with_get_aduser_filter,search *
disabled_kerberos_pre_authentication_discovery_with_powerview_filter,search *
disabling_cmd_application_filter,search *
disabling_controlpanel_filter,search *
disabling_defender_services_filter,search *
disabling_firewall_with_netsh_filter,search *
disabling_folderoptions_windows_feature_filter,search *
disabling_net_user_account_filter,search *
disabling_norun_windows_app_filter,search *
disabling_remote_user_account_control_filter,search *
disabling_systemrestore_in_registry_filter,search *
disabling_task_manager_filter,search *
disabling_windows_local_security_authority_defences_via_registry_filter,search *
discover_trend(6),"xsDiscoverTrend $fieldY$ IN $container$ FROM $context$ SCOPED $scope$ over $fieldX$ `by_token(""$class$"")` | where trend != 0 | eval absTrend = abs(trend) | xsFindBestConcept absTrend FROM TrendChange | eval dir=if(absTrend==trend,""more"", ""less"") | eval byStr=if(bv==""*"", """", ""When "" + bf + "" is "" + bv + "", "") | eval results=byStr + ""$fieldY$ is "" + BestConcept + "" becoming "" + dir + "" "" + concept + "" as $fieldX$ increases"""
disk,"(sourcetype=*:FreeDiskSpace NOT sourcetype=Perfmon:FreeDiskSpace) OR sourcetype=df | append [search sourcetype=Perfmon:FreeDiskSpace | transaction _time, dest, collection, object, instance | search PercentFreeSpace=* FreeMBytes=*] | tags outputfield=tag | search NOT mount=*Total | fillnull value=0 FreeMBytes,PercentFreeSpace,TotalMBytes,UsedMBytes | eval PercentFreeSpace=if(PercentFreeSpace<=0,0.01,PercentFreeSpace) | eval PercentFreeSpaceDec=PercentFreeSpace/100 | eval TotalMBytes=if(sourcetype==""WMI:FreeDiskSpace"" OR sourcetype=""Perfmon:FreeDiskSpace"",FreeMBytes/PercentFreeSpaceDec,TotalMBytes) | eval UsedMBytes = if(sourcetype==""WMI:FreeDiskSpace"" OR sourcetype=""Perfmon:FreeDiskSpace"",TotalMBytes-FreeMBytes,UsedMBytes) | eval FreeMBytes=round(FreeMBytes) | eval TotalMBytes=round(TotalMBytes) | eval UsedMBytes=round(UsedMBytes)"
disk(1),dest=$host$ `disk`
disk(2),"`disk($host$)` | transaction _time,dest | head $limit$"
display_zero_if_null,appendpipe [ stats count | where count==0]
distinct_apps,"`user_activity_base` | stats dc(App) as ""Distinct Apps"""
distinct_users,"`user_activity_base` | stats dc(User) as ""Distinct Users"""
dllhost_with_no_command_line_arguments_with_network_filter,search *
dns_exfiltration_using_nslookup_app_filter,search *
dns_query_length_outliers___mltk_filter,search *
dns_query_length_with_high_standard_deviation_filter,search *
dns_query_requests_resolved_by_unauthorized_dns_servers_filter,search *
dns_record_changed_filter,search *
domain_account_discovery_with_dsquery_filter,search *
domain_account_discovery_with_net_app_filter,search *
domain_account_discovery_with_wmic_filter,search *
domain_controller_discovery_with_nltest_filter,search *
domain_controller_discovery_with_wmic_filter,search *
domain_group_discovery_with_adsisearcher_filter,search *
domain_group_discovery_with_dsquery_filter,search *
domain_group_discovery_with_net_filter,search *
domain_group_discovery_with_wmic_filter,search *
download_files_using_telegram_filter,search *
driverinventory,sourcetype=PwSh:DriverInventory
drop_dm_object_name(1),"rename ""$object$.*"" as *"
drop_icedid_license_dat_filter,search *
dsquery_domain_discovery_filter,search *
dump_lsass_via_comsvcs_dll_filter,search *
dump_lsass_via_procdump_filter,search *
dump_lsass_via_procdump_rename_filter,search *
dynamic_dns_providers,"lookup update=true dynamic_dns_providers_default dynamic_dns_domains as query OUTPUTNEW isDynDNS_default | lookup update=true dynamic_dns_providers_local dynamic_dns_domains as query OUTPUTNEW isDynDNS_local| eval isDynDNS = coalesce(isDynDNS_default, isDynDNS_local)|fields - isDynDNS_default, isDynDNS_local| search isDynDNS=True"
dynamic_dns_web_traffic,"lookup update=true dynamic_dns_providers_default dynamic_dns_domains as url OUTPUTNEW isDynDNS_default | lookup update=true dynamic_dns_providers_local dynamic_dns_domains as url OUTPUTNEW isDynDNS_local| eval isDynDNS = coalesce(isDynDNS_default, isDynDNS_local)|fields - isDynDNS_default, isDynDNS_local| search isDynDNS=True"
ec2_instance_modified_with_previously_unseen_user_filter,search *
ec2_instance_started_in_previously_unseen_region_filter,search *
ec2_instance_started_with_previously_unseen_ami_filter,search *
ec2_instance_started_with_previously_unseen_instance_type_filter,search *
ec2_instance_started_with_previously_unseen_user_filter,search *
ec2_modification_api_calls,(eventName=AssociateAddress OR eventName=AssociateIamInstanceProfile OR eventName=AttachClassicLinkVpc OR eventName=AttachNetworkInterface OR eventName=AttachVolume OR eventName=BundleInstance OR eventName=DetachClassicLinkVpc OR eventName=DetachVolume OR eventName=ModifyInstanceAttribute OR eventName=ModifyInstancePlacement OR eventName=MonitorInstances OR eventName=RebootInstances OR eventName=ResetInstanceAttribute OR eventName=StartInstances OR eventName=StopInstances OR eventName=TerminateInstances OR eventName=UnmonitorInstances)
elevated_group_discovery_with_net_filter,search *
elevated_group_discovery_with_powerview_filter,search *
elevated_group_discovery_with_wmic_filter,search *
email_attachments_with_lots_of_spaces_filter,search *
email_files_written_outside_of_the_outlook_directory_filter,search *
email_intel,`email_intel_by_threat_key(*)`
email_intel_by_threat_key(1),"inputlookup append=T email_intel where threat_key=""$threat_key$"" | fillnull value=0 updated,disabled | `set_threat_collection_name(""email_intel"")` | `get_threat_attribution_weight(threat_key)`"
email_intel_stats,"dc(src_user),dc(subject),dc(file_name),dc(file_hash),dc(embedded_domain),dc(embedded_ip),dc(src)"
email_servers_sending_high_volume_traffic_to_hosts_filter,search *
enable_rdp_in_other_port_number_filter,search *
enable_wdigest_uselogoncredential_registry_filter,search *
endpoint_change,"tag=endpoint tag=change | tags outputfield=tag | fillnull value=unknown action,dest,object,object_category,object_path,status,user"
enumerate_users_local_group_using_telegram_filter,search *
es_context_only(1),($dm$.app=SplunkEnterpriseSecuritySuite OR $dm$.app=Splunk_DA-ESS_* OR $dm$.app=DA-ESS-*)
es_get_cam,"join type=outer action_name [| rest splunk_server=local count=0 /services/alerts/alert_actions | rename title as action_name | table action_name,param._cam*] | spath input=param._cam | rename category{} as cam_category,subject{} as cam_subject"
es_loadjob(1),"loadjob savedsearch=""admin:SplunkEnterpriseSecuritySuite:$savedsearch$"""
es_notable_events,c
es_search_schedule,"rest splunk_server=local count=0 /services/saved/searches | search (title=""*Gen"" OR title=""*Rule"" OR title=""*Action History"") NOT (dispatch.earliest_time=rt* OR dispatch.latest_time=rt*) | where isnotnull(cron_schedule) AND cron_schedule!="""" | stats values(title) as savedsearches,count by cron_schedule | lookup cron_schedule_map cron_schedule OUTPUT | eval c0=c0*count | eval c5=c5*count | eval c10=c10*count | eval c15=c15*count | eval c20=c20*count | eval c25=c25*count | eval c30=c30*count | eval c35=c35*count | eval c40=c40*count | eval c45=c45*count | eval c50=c50*count | eval c55=c55*count | addcoltotals labelfield=savedsearches label=Total | fields cron_schedule savedsearches count c0 c5 c10 c15 c20 c25 c30 c35 c40 c45 c50 c55"
esentutl_sam_copy_filter,search *
etw_registry_disabled_filter,search *
event-codes-search(3),"eventtype=wineventlog_windows LogName=""$LogName$"" SourceName=""$SourceName$"" TaskCategory=""$TaskCategory$"" | stats count by EventCode | sort +EventCode"
event-hosts-search,eventtype=wineventlog_windows | stats count by host | sort +host
event-types-search(4),"eventtype=wineventlog_windows LogName=""$LogName$"" SourceName=""$SourceName$"" TaskCategory=""$TaskCategory$"" EventCode=""$EventCode$"" | stats count by Type | sort +Type"
event_count_filter,(index!=notable index!=risk index!=*summary*)
event_seq_base_search,"`event_seq_events` | tags outputfield=tag | `mvappend_field(tag,orig_tag)`| dedup rule_id | `get_correlations` | `get_urgency` | typer | tags outputfield=tag | `mvappend_field(tag,orig_tag)` | `suppression_extract` | search NOT suppression=* | expandtoken rule_title"
event_seq_events,"`get_risk_index` OR `get_notable_index` | eval `get_event_id_meval`,rule_id=event_id | fields - host_*"
events-search(6),"eventtype=""wineventlog_windows"" source=""*inEventLog:$LogName$"" (host=""$EventHost$"" OR ComputerName=""$EventHost$"") TaskCategory=""$TaskCategory$"" SourceName=""$SourceName$"" EventCode=""$EventCode$"" Type=""$Type$"""
eventvwr_uac_bypass_filter,search *
evilginx_phishlets_0365,(query=login* AND query=www*)
evilginx_phishlets_amazon,(query=fls-na* AND query = www* AND query=images*)
evilginx_phishlets_aws,(query=www* AND query=aws* AND query=console.aws* AND query=signin.aws* AND api-northeast-1.console.aws* AND query=fls-na* AND query=images-na*)
evilginx_phishlets_facebook,(query=www* AND query = m* AND query=static*)
evilginx_phishlets_github,(query=api* AND query = github*)
evilginx_phishlets_google,(query=accounts* AND query=ssl* AND query=www*)
evilginx_phishlets_outlook,(query=outlook* AND query=login* AND query=account*)
excel_spawning_powershell_filter,search *
excel_spawning_windows_script_host_filter,search *
excessive_attempt_to_disable_services_filter,search *
excessive_distinct_processes_from_windows_temp_filter,search *
excessive_dns_failures_filter,search *
excessive_file_deletion_in_windefender_folder_filter,search *
excessive_number_of_service_control_start_as_disabled_filter,search *
excessive_number_of_taskhost_processes_filter,search *
excessive_service_stop_attempt_filter,search *
excessive_usage_of_cacls_app_filter,search *
excessive_usage_of_net_app_filter,search *
excessive_usage_of_nslookup_app_filter,search *
excessive_usage_of_sc_service_utility_filter,search *
excessive_usage_of_taskkill_filter,search *
exchange,"sourcetype=""MSWindows:IIS"""
exchange_powershell_abuse_via_ssrf_filter,search *
exchange_powershell_module_usage_filter,search *
exclude_disabled_entries,where NOT disabled=1
executable_file_written_in_administrative_smb_share_filter,search *
executables_or_script_creation_in_suspicious_path_filter,search *
execute_javascript_with_jscript_com_clsid_filter,search *
execute_sequence_template(2),"`event_seq_base_search` | esssequence template=""$template$"" create_seq_event=""$create_seq_event$"""
execution_of_file_with_multiple_extensions_filter,search *
execution_of_file_with_spaces_before_extension_filter,search *
expand_references,"| eval reference=mvdedup(mvappend(ref_1,ref_2,ref_3,ref_4,ref_5,ref_6,ref_7,ref_8,ref_9)) | fields - ref_* | where !isnull(reference) | mvexpand reference | dedup fqn reference"
expected_view_tracker(1),"tstats `summariesonly` count from datamodel=Splunk_Audit.View_Activity by _time,View_Activity.app,View_Activity.view,View_Activity.user span=1s | `drop_dm_object_name(""View_Activity"")` | `get_expected_views` | search is_expected=true | append [| `expected_views` | search is_expected=true | expectedactivity append=False fields=""app,view"" earliest=$earliest$ latest=now interval=86400 | eval count=0] | sort - _time"
expected_view_tracker(2),"`expected_view_tracker($earliest$)` | search app=""$app$"""
expected_view_tracker(3),"`expected_view_tracker($earliest$)` | search app=""$app$"" view=""$view$"""
expected_views,"inputlookup append=T expected_views_lookup | dedup app,view | `str_to_bool(is_expected)` | sort + app,view"
expected_views(1),"`expected_views` | search app=""$app$"""
expected_views(2),"`expected_views` | search app=""$app$"" view=""$view$"""
explode_certificate_serial,"rex field=certificate_serial max_match=1000 ""(0[xX])?(?<certificate_serial_clean>[0-9a-fA-F]+)"" | eval certificate_serial_clean=mvjoin(certificate_serial_clean, """"),certificate_serial_sign=if(match(certificate_serial, ""^(-|[Nn]egative).*""),mvappend(""-"", ""Negative"", ""negative""),mvappend("""", ""+"",""Postive"",""positive"")),certificate_serial_hex=if(match(certificate_serial, ""0[xX]"") OR match(certificate_serial_clean, ""[a-fA-F]""),""0x"".certificate_serial_clean,null()),certificate_serial_dec=if(isnull(certificate_serial_hex),certificate_serial_clean,null()) | lookup hex2dec hex as certificate_serial_clean OUTPUTNEW dec as certificate_serial_dec | lookup hex2dec dec as certificate_serial_dec OUTPUTNEW hex as certificate_serial_hex | rex field=certificate_serial_hex max_match=1000 ""(0[xX])?(?<certificate_serial_hex_parts>[0-9a-fA-F]{2})"" | eval certificate_serial_hex=mvappend(certificate_serial_hex,""0x"".mvjoin(certificate_serial_hex_parts, "":"")),certificate_serial=mvappend(certificate_serial_hex,certificate_serial_dec) | mvexpand certificate_serial_sign | mvexpand certificate_serial | eval certificate_serial=certificate_serial_sign.certificate_serial | fields - certificate_serial_*"
exploit_public_facing_application_via_apache_commons_text_filter,search *
exploit_public_facing_fortinet_fortinac_cve_2022_39952_filter,search *
extended_period_without_successful_netbackup_backups_filter,search *
extraction_of_registry_hives_filter,search *
f5_big_ip_icontrol_rest_vulnerability_cve_2022_1388_filter,search *
f5_bigip_rogue,"index=netops sourcetype=""f5:bigip:rogue"""
file_intel,`file_intel_by_threat_key(*)`
file_intel_by_threat_key(1),"inputlookup append=T file_intel where threat_key=""$threat_key$"" | fillnull value=0 updated,disabled | `set_threat_collection_name(""file_intel"")` | `get_threat_attribution_weight(threat_key)`"
file_intel_stats,"dc(file_hash),dc(file_name)"
file_with_samsam_extension_filter,search *
filter_by_threat_category(2),"`threat_group_intel` | search threat_category=""$value$"" | rename _key as ""$field$"" | table ""$field$"" | format"
filter_by_threat_group(2),"`threat_group_intel` | search threat_group=""$value$"" | rename _key as ""$field$"" | table ""$field$"" | format"
filter_rare_process_allow_list,"lookup update=true lookup_rare_process_allow_list_default process as process OUTPUTNEW allow_list | where allow_list=""false"" | lookup update=true lookup_rare_process_allow_list_local process as process OUTPUT allow_list | where allow_list=""false"""
filtertags(1),"`filtertags(""$domain$"",""tag"")`"
filtertags(2),"eval ""$outField$""=mvfilter(`settags_$domain$` OR `settags_governance`)"
find_best_concept(5),"xsFindBestConcept $datafield$ IN $container$ FROM $context$ SCOPED $scope$ `by_token(""$class$"")` | rename BestCIX as termCIX | rename BestConcept as termMatch | rename UOM as units | xsFindBestConcept termCIX FROM Compatibility | eval results = ""Using Context $context$, the value of "" + $datafield$ + "" "" + units + "" in $datafield$ is "" + BestConcept + "" compatible with "" + termMatch"
find_im_threat_indicators_using_event_id(1),"`mc_extend_observables_using_event_id($event_id$)` | fields - observable | `get_selected_enclave_id` | eval observable_value_hash=sha256(observable_value) | lookup tim_iocs observable_value_hash, enclave_id as selected_enclave_ids, observable_value OUTPUTNEW indicator_json, observable_value, enclave_id, observable_type as im_observable_type | fields - selected_enclave_ids | spath input=indicator_json | fields indicator_json, observable_*, enclave_id, priorityScore, created, processedAt, updated | dedup observable_type, observable_value, observable_object"
find_im_threat_indicators_using_summary_json(1),"`mc_extend_observables_using_summary_json($summary_json$)` | fields - observable | `get_selected_enclave_id` | eval observable_value_hash=sha256(observable_value) | lookup tim_iocs observable_value_hash, enclave_id as selected_enclave_ids, observable_value OUTPUTNEW indicator_json, observable_value, enclave_id, observable_type as im_observable_type | fields - selected_enclave_ids | spath input=indicator_json | fields indicator_json, observable_*, enclave_id, priorityScore, created, processedAt, updated | dedup observable_type, observable_value, observable_object"
firewall_allowed_program_enable_filter,search *
first_time_seen_child_process_of_zoom_filter,search *
first_time_seen_command_line_argument_filter,search *
first_time_seen_running_windows_service_filter,search *
fodhelper_uac_bypass_filter,search *
forecastviz(4),"eval _ft=$ft$, _hb=$hb$, _vars=""$v$"", _ci=$ci$"
format_field_names,"rename Airespace_Wlan_Id AS ""Airespace WLAN ID"" alarm_description AS ""Alarm Description"" alarm_type AS ""Alarm Type"" AntiSpywareInstalled AS ""AntiSpyware Installed"" AntiVirusInstalled AS ""Antivirus Installed"" AuthenticationIdentityStore AS ""Authentication Identity Store"" AuthenticationMethod AS ""Authentication Method"" AuthorizationPolicyMatchedRule AS ""AuthorizationPolicy Mateched Rule"" Called_Station_ID AS ""Called Station ID"" Calling_Station_ID AS ""Calling Station ID"" count AS Count DeviceRegistrationStatus AS ""Registration Status"" dhcp_class_identifier AS ""DHCP Class ID"" EapAuthentication AS ""EAP Authentication"" EapTunnel AS ""EAP Tunnel"" EndpointIPAddress AS ""IP Address"" EndPointMACAddress AS ""MAC Address"" EndpointMacAddress AS ""Endpoint MAC Accress"" EndpointMatchedPolicy AS ""Endpoint Matched Policy"" EndPointMatchedProfile AS ""Matched Profile"" EndpointNADAddress AS ""Endpoint NAD Address"" EndpointPolicy AS ""Endpoint Policy"" EndpointOUI AS ""Endpoint OUI"" EndpointSourceEvent AS ""Endpoint Source Event"" FailureReason AS ""Failure Reason"" Framed_IP_Address AS ""Framed IP Address"" host_name AS ""Host"" HostIdentityGroup AS ""Host Identity Group"" IdentityGroup AS ""Identity Group"" IpAddress AS ""IP Address"" ise_servername AS ""ISE Server Name"" MacAddress AS ""MAC Adderess"" MESSAGE_CODE AS ""Message Code"" NAS_IP_Address AS ""NAS IP Address"" NAS_Identifier AS ""NAS Identifier"" NAS_Port AS ""NAS Port"" NAS_Port_Id AS ""NAS Port ID"" NAS_Port_Type AS ""NAS Port Type"" NetworkDeviceGroups AS ""Network Device Groups"" NetworkDeviceName AS ""Network Device Name"" OperatingSystem AS ""Operating System"" OperationMessageText AS ""Operational Message"" PIX7x_Client_Type AS ""PIX 7.x Client Type"" PIX7x_Tunnel_Group_Name AS ""PIX 7.x Tunnel Group Name"" PortalName AS ""Portal Name"" PortalUser AS ""Portal User"" PostureAgentVersion AS ""Posture Agent Version"" PosturePolicyMatched AS ""Posture Policy Matched"" PostureReport AS ""Posture Report"" PostureStatus AS ""Posture Status"" SelectedAuthorizationProfiles AS ""Selected Authorization Profiles"" system_mgmt_desc AS ""System Management Description"" SystemName AS ""System Name"" SystemUser AS ""System User"" Tunnel_Client_Endpoint AS ""Tunnel Client Endpoint"" UserName AS ""User Name"" UserType AS ""User Type"""
fortinet_appliance_auth_bypass_filter,search *
fsutil_zeroing_file_filter,search *
gcp_authentication_failed_during_mfa_challenge_filter,search *
gcp_detect_accounts_with_high_risk_roles_by_project_filter,search *
gcp_detect_gcploit_framework_filter,search *
gcp_detect_high_risk_permissions_by_resource_and_account_filter,search *
gcp_detect_oauth_token_abuse_filter,search *
gcp_kubernetes_cluster_pod_scan_detection_filter,search *
gcp_kubernetes_cluster_scan_detection_filter,search *
gcp_multi_factor_authentication_disabled_filter,search *
gcp_multiple_failed_mfa_requests_for_user_filter,search *
gcp_multiple_users_failing_to_authenticate_from_ip_filter,search *
gcp_successful_single_factor_authentication_filter,search *
gcp_unusual_number_of_failed_authentications_from_ip_filter,search *
gdrive_suspicious_file_sharing_filter,search *
genColorFromComponents(4),"| eval _red = $red$ | eval _green = $green$ | eval _blue = $blue$ | eval _outcolor = ""#"" + upper(printf(""%02x"", _red)) + upper(printf(""%02x"", _green)) + upper(printf(""%02x"", _blue)) | eval $outcolorfieldname$ = _outcolor"
generate_identities,
get_addefaultdomainpasswordpolicy_with_powershell_filter,search *
get_addefaultdomainpasswordpolicy_with_powershell_script_block_filter,search *
get_aduser_with_powershell_filter,search *
get_aduser_with_powershell_script_block_filter,search *
get_aduserresultantpasswordpolicy_with_powershell_filter,search *
get_aduserresultantpasswordpolicy_with_powershell_script_block_filter,search *
get_application_protocol,"lookup local=true application_protocol_lookup transport,dest_port OUTPUTNEW app | fillnull value=unknown app"
get_arrow(1),"search security_domain=$security_domain$ | stats sum(count) as count by security_domain,timeDiff_type | fields - security_domain | sort + timeDiff_type | transpose | search column=count | rename ""row 1"" as current_count | rename ""row 2"" as historical_count | eval count_diff=current_count-historical_count | eval arrow=if(count_diff<0,""down"",""up"") | eval arrow=if(count_diff==0,""no_change"",arrow)"
get_asset(1),"`get_asset_by(""str"",$subject$)` | `get_asset_by(""cidr"",$subject$)` | lookup asset_lookup_default_fields key as $subject$ OUTPUTNEW pci_domain as $subject$_pci_domain, is_expected as $subject$_is_expected, requires_av as $subject$_requires_av, should_timesync as $subject$_should_timesync, should_update as $subject$_should_update | eval ""$subject$_ip""=case(match('$subject$_ip', ""^\d{1,3}\.\d{1,3}\.\d{1,3}\.\d{1,3}$""),'$subject$_ip',match('$subject$', ""^\d{1,3}\.\d{1,3}\.\d{1,3}\.\d{1,3}$""),$subject$,1=1,null()),`mvappend_field_meval(tag,$subject$_asset_tag)`"
get_asset_by(2),"lookup update=true asset_lookup_by_$key$ asset as ""$subject$"" OUTPUTNEW `prepend_alias_assets($subject$)`"
get_asset_simple(1),"(dns=""$subject$"" OR nt_host=""$subject$"" OR mac=""$subject$"" OR ip=""$subject$"")"
get_bunit(1),"(tag=""$bunit$"" OR bunit=""$bunit$"" OR ((host_bunit=""$bunit$"" OR host_owner_bunit=""$bunit$"") NOT sourcetype=stash) OR orig_host_bunit=""$bunit$"" OR src_bunit=""$bunit$"" OR dest_bunit=""$bunit$"" OR dvc_bunit=""$bunit$"" OR src_user_bunit=""$bunit$"" OR user_bunit=""$bunit$"" OR orig_host_owner_bunit=""$bunit$"" OR src_owner_bunit=""$bunit$"" OR dest_owner_bunit=""$bunit$"" OR dvc_owner_bunit=""$bunit$"")"
get_bunit_dm(2),"(""$object$.tag""=""$bunit$"" OR ""$object$.bunit""=""$bunit$"" OR ((""$object$.host_bunit""=""$bunit$"" OR ""$object$.host_owner_bunit""=""$bunit$"") NOT sourcetype=stash) OR ""$object$.orig_host_bunit""=""$bunit$"" OR ""$object$.src_bunit""=""$bunit$"" OR ""$object$.dest_bunit""=""$bunit$"" OR ""$object$.dvc_bunit""=""$bunit$"" OR ""$object$.src_user_bunit""=""$bunit$"" OR ""$object$.user_bunit""=""$bunit$"" OR ""$object$.orig_host_owner_bunit""=""$bunit$"" OR ""$object$.src_owner_bunit""=""$bunit$"" OR ""$object$.dest_owner_bunit""=""$bunit$"" OR ""$object$.dvc_owner_bunit""=""$bunit$"")"
get_category(1),"(tag=""$category$"" OR category=""$category$"" OR ((host_category=""$category$"" OR host_owner_category=""$category$"") NOT sourcetype=stash) OR orig_host_category=""$category$"" OR src_category=""$category$"" OR dest_category=""$category$"" OR dvc_category=""$category$"" OR src_user_category=""$category$"" OR user_category=""$category$"" OR orig_host_owner_category=""$category$"" OR src_owner_category=""$category$"" OR dest_owner_category=""$category$"" OR dvc_owner_category=""$category$"")"
get_category_dm(2),"(""$object$.tag""=""$category$"" OR ""$object$.category""=""$category$"" OR ((""$object$.host_category""=""$category$"" OR ""$object$.host_owner_category""=""$category$"") NOT sourcetype=stash) OR ""$object$.orig_host_category""=""$category$"" OR ""$object$.src_category""=""$category$"" OR ""$object$.dest_category""=""$category$"" OR ""$object$.dvc_category""=""$category$"" OR ""$object$.src_user_category""=""$category$"" OR ""$object$.user_category""=""$category$"" OR ""$object$.orig_host_owner_category""=""$category$"" OR ""$object$.src_owner_category""=""$category$"" OR ""$object$.dest_owner_category""=""$category$"" OR ""$object$.dvc_owner_category""=""$category$"")"
